session_id,round_idx,prefix_len,input_len,output_len,tool_wait_after_ms,arrival_time
claude:15076d8b-dd92-153d-cb9e-de26e3873dee,0,12978,2742,290,1984,915300
claude:15076d8b-dd92-153d-cb9e-de26e3873dee,1,15717,2716,267,0,915300
claude:17c4e998-d28d-c283-d34d-f55307606dc2,0,12978,2786,209,22906,3038408
claude:17c4e998-d28d-c283-d34d-f55307606dc2,1,15761,4288,358,0,3038408
claude:18695bb7-b1a7-ff3a-3701-3bce7add9310,0,12978,2742,272,3997,1400614
claude:18695bb7-b1a7-ff3a-3701-3bce7add9310,1,15717,2597,264,55742,1400614
claude:18695bb7-b1a7-ff3a-3701-3bce7add9310,2,18313,978,97,98298,1400614
claude:18695bb7-b1a7-ff3a-3701-3bce7add9310,3,19290,1550,691,0,1400614
claude:19e0632d-3b38-66e1-edee-190b27cdec2b,0,12978,2722,308,3318,2118667
claude:19e0632d-3b38-66e1-edee-190b27cdec2b,1,15697,2548,292,2988,2118667
claude:19e0632d-3b38-66e1-edee-190b27cdec2b,2,17178,1843,204,2650,2118667
claude:19e0632d-3b38-66e1-edee-190b27cdec2b,3,18788,642,136,24166,2118667
claude:19e0632d-3b38-66e1-edee-190b27cdec2b,4,19429,2252,797,0,2118667
claude:1e280c07-e9db-d505-a8b7-7c2edc7afc8c,0,15724,3,288,31827,758003
claude:1e280c07-e9db-d505-a8b7-7c2edc7afc8c,1,12978,6618,204,0,758003
claude:28cf68f5-9165-9e29-1ef0-33f9968b43af,0,12978,2722,196,18608,2307127
claude:28cf68f5-9165-9e29-1ef0-33f9968b43af,1,15697,4282,1,0,2307127
claude:2938207f-1a58-3b9c-f0f2-ae76453d3632,0,12978,2735,210,21280,2651737
claude:2938207f-1a58-3b9c-f0f2-ae76453d3632,1,15710,4037,272,3960,2651737
claude:2938207f-1a58-3b9c-f0f2-ae76453d3632,2,18192,2454,248,11410,2651737
claude:2938207f-1a58-3b9c-f0f2-ae76453d3632,3,20645,1203,231,5303,2651737
claude:2938207f-1a58-3b9c-f0f2-ae76453d3632,4,21252,1253,160,159281,2651737
claude:2b413374-2b2a-2ff3-6478-0fa78c7373c1,0,12978,2749,279,2479,727281
claude:2b413374-2b2a-2ff3-6478-0fa78c7373c1,1,15724,3296,198,15524,727281
claude:2b413374-2b2a-2ff3-6478-0fa78c7373c1,2,17821,2844,99,25391,727281
claude:2b413374-2b2a-2ff3-6478-0fa78c7373c1,3,19555,2439,821,0,727281
claude:2ba9bab3-5800-4310-2c1d-49815a74d72e,0,15717,3,274,17786,1133732
claude:2ba9bab3-5800-4310-2c1d-49815a74d72e,1,12978,5369,262,5785,1133732
claude:2ba9bab3-5800-4310-2c1d-49815a74d72e,2,16325,3066,116,28113,1133732
claude:2ba9bab3-5800-4310-2c1d-49815a74d72e,3,19390,1625,202,3771,1133732
claude:2ba9bab3-5800-4310-2c1d-49815a74d72e,4,21014,466,814,0,1133732
claude:2cd70b3f-bc5f-c388-53c5-787330a9d559,0,12978,2722,286,2938,1013959
claude:2cd70b3f-bc5f-c388-53c5-787330a9d559,1,15697,3250,301,0,1013959
claude:32d560d9-bd64-332f-43ff-8359c830a863,0,13045,2622,210,7244,384855
claude:32d560d9-bd64-332f-43ff-8359c830a863,1,15664,769,697,0,384855
claude:33092ace-6947-6f94-c803-78aed5236948,0,12978,2728,281,184917,1567197
claude:33092ace-6947-6f94-c803-78aed5236948,1,12978,6220,1,3692,1567197
claude:33092ace-6947-6f94-c803-78aed5236948,2,19197,2167,846,0,1567197
claude:35394337-cc24-aca7-29dc-a758d8e1b613,0,12978,2786,193,17909,3476219
claude:35394337-cc24-aca7-29dc-a758d8e1b613,1,15761,4069,347,0,3476219
claude:3cccd2a9-0a4a-87c3-eabb-75443c98e25a,0,12978,2733,323,17784,2586764
claude:3cccd2a9-0a4a-87c3-eabb-75443c98e25a,1,15708,2654,267,23214,2586764
claude:3cccd2a9-0a4a-87c3-eabb-75443c98e25a,2,17180,4001,3,0,2586764
claude:3d31982c-15ab-7e4a-6066-b25124e306ec,0,12978,2762,147,16670,1398200
claude:3d31982c-15ab-7e4a-6066-b25124e306ec,1,15737,2542,341,3759,1398200
claude:3d31982c-15ab-7e4a-6066-b25124e306ec,2,17036,2380,152,16268,1398200
claude:3d31982c-15ab-7e4a-6066-b25124e306ec,3,19415,351,153,8563,1398200
claude:3d31982c-15ab-7e4a-6066-b25124e306ec,4,19765,308,129,26296,1398200
claude:3e3617ff-3039-4b76-0c8d-b7723175c361,0,12978,2730,2,4077,3365975
claude:3e3617ff-3039-4b76-0c8d-b7723175c361,1,15705,1904,1,3561,3365975
claude:3e3617ff-3039-4b76-0c8d-b7723175c361,2,17608,608,203,20195,3365975
claude:3e3617ff-3039-4b76-0c8d-b7723175c361,3,18215,1549,591,0,3365975
claude:40539076-a78a-92c2-675b-d495c9730d8f,0,15717,3,266,19787,1444988
claude:40539076-a78a-92c2-675b-d495c9730d8f,1,15717,2816,250,4181,1444988
claude:40539076-a78a-92c2-675b-d495c9730d8f,2,16224,3306,88,15972,1444988
claude:40539076-a78a-92c2-675b-d495c9730d8f,3,19197,1662,765,0,1444988
claude:452f3d82-9429-907f-3b8e-cb28f155ef6b,0,15695,3,276,4217,1155129
claude:452f3d82-9429-907f-3b8e-cb28f155ef6b,1,15695,2551,238,35718,1155129
claude:452f3d82-9429-907f-3b8e-cb28f155ef6b,2,17630,1466,259,65918,1155129
claude:452f3d82-9429-907f-3b8e-cb28f155ef6b,3,18660,1208,850,0,1155129
claude:46a71e2b-4f14-e6d6-a0d0-95c8b470ae66,0,15761,3,299,6782,3349883
claude:46a71e2b-4f14-e6d6-a0d0-95c8b470ae66,1,15761,3407,254,0,3349883
claude:4773b7c8-637c-1052-0c02-7ab5ada3dde3,0,13045,2611,207,101372,84947
claude:4773b7c8-637c-1052-0c02-7ab5ada3dde3,1,15653,641,589,0,84947
claude:47ae0755-b739-4117-e375-d2c6a23dc5f1,0,13045,2608,191,23370,84945
claude:47ae0755-b739-4117-e375-d2c6a23dc5f1,1,15650,541,253,28735,84945
claude:47ae0755-b739-4117-e375-d2c6a23dc5f1,2,16190,1103,703,0,84945
claude:4c12ca4f-50fa-0ee6-1901-caaf2ebdff95,0,12978,2720,2,19547,482042
claude:4c12ca4f-50fa-0ee6-1901-caaf2ebdff95,1,15695,3153,230,11965,482042
claude:4c12ca4f-50fa-0ee6-1901-caaf2ebdff95,2,16315,3714,251,2312,482042
claude:4c12ca4f-50fa-0ee6-1901-caaf2ebdff95,3,19327,1432,1,19281,482042
claude:4c12ca4f-50fa-0ee6-1901-caaf2ebdff95,4,20624,1261,745,0,482042
claude:50bc8e46-4d20-c0e4-266b-68b88411ea9b,0,12978,2733,340,15117,2961788
claude:50bc8e46-4d20-c0e4-266b-68b88411ea9b,1,15708,2383,228,4370,2961788
claude:50bc8e46-4d20-c0e4-266b-68b88411ea9b,2,16970,2179,265,3760,2961788
claude:50bc8e46-4d20-c0e4-266b-68b88411ea9b,3,19148,894,210,9506,2961788
claude:50bc8e46-4d20-c0e4-266b-68b88411ea9b,4,19705,1353,1148,0,2961788
claude:51ee18cb-949e-d0b5-1726-90c1eaa0e18b,0,12978,2735,203,21136,2067063
claude:51ee18cb-949e-d0b5-1726-90c1eaa0e18b,1,15710,3971,228,0,2067063
claude:532cb0b4-a2f1-515a-4665-0b747261612b,0,13045,2609,268,6156,84946
claude:532cb0b4-a2f1-515a-4665-0b747261612b,1,15651,696,489,0,84946
claude:533b312e-6db0-c541-4d30-f523a348d61e,0,12978,2749,4,28094,1326457
claude:533b312e-6db0-c541-4d30-f523a348d61e,1,15724,4406,287,71501,1326457
claude:533b312e-6db0-c541-4d30-f523a348d61e,2,17275,3607,141,67666,1326457
claude:533b312e-6db0-c541-4d30-f523a348d61e,3,20881,462,154,38150,1326457
claude:533b312e-6db0-c541-4d30-f523a348d61e,4,21342,501,614,0,1326457
claude:54b40b3e-fbeb-3754-8e3c-65450e413eec,0,12978,2749,196,27187,1099303
claude:54b40b3e-fbeb-3754-8e3c-65450e413eec,1,15724,5185,371,52119,1099303
claude:54b40b3e-fbeb-3754-8e3c-65450e413eec,2,18912,2937,180,87811,1099303
claude:54b40b3e-fbeb-3754-8e3c-65450e413eec,3,21848,1532,713,0,1099303
claude:589ad803-8023-3ef7-7d32-b478cc537261,0,12978,2722,291,21727,2845121
claude:589ad803-8023-3ef7-7d32-b478cc537261,1,15697,3141,281,0,2845121
claude:5d6b30ab-25b3-9e6b-859a-8a9b014a4d1c,0,12978,2876,227,23687,2815478
claude:5d6b30ab-25b3-9e6b-859a-8a9b014a4d1c,1,15851,4533,316,4679,2815478
claude:5d6b30ab-25b3-9e6b-859a-8a9b014a4d1c,2,20383,1053,310,19725,2815478
claude:5d6b30ab-25b3-9e6b-859a-8a9b014a4d1c,3,21435,1720,178,531664,2815478
claude:5d6b30ab-25b3-9e6b-859a-8a9b014a4d1c,4,12978,10387,931,0,2815478
claude:5fa0a817-1a6e-da29-8c6f-b96543643859,0,15697,3,282,22149,2203119
claude:5fa0a817-1a6e-da29-8c6f-b96543643859,1,15697,2943,248,2555,2203119
claude:5fa0a817-1a6e-da29-8c6f-b96543643859,2,16229,3155,714,0,2203119
claude:60be47c8-1858-d708-8a5d-fbffc923827c,0,12978,2733,204,19753,2598439
claude:60be47c8-1858-d708-8a5d-fbffc923827c,1,15708,3912,303,34670,2598439
claude:60be47c8-1858-d708-8a5d-fbffc923827c,2,19619,1145,200,0,2598439
claude:60be47c8-1858-d708-8a5d-fbffc923827c,3,20763,816,121,11203,2598439
claude:60be47c8-1858-d708-8a5d-fbffc923827c,4,21578,140,118,1630,2598439
claude:612ee5b2-237a-2547-9831-a32e4b75d7c3,0,13045,2629,164,26892,0
claude:612ee5b2-237a-2547-9831-a32e4b75d7c3,1,15671,551,42,0,0
claude:627cd9bf-546a-c66f-da34-33b5ae70d113,0,13045,2610,250,42165,84947
claude:627cd9bf-546a-c66f-da34-33b5ae70d113,1,15652,704,198,5137,84947
claude:627cd9bf-546a-c66f-da34-33b5ae70d113,2,16355,599,147,402,84947
claude:627cd9bf-546a-c66f-da34-33b5ae70d113,3,16953,6461,634,0,84947
claude:63beb72e-283c-0dc9-b597-742178227207,0,12978,2738,235,29332,482043
claude:63beb72e-283c-0dc9-b597-742178227207,1,15713,3685,4,4632,482043
claude:63beb72e-283c-0dc9-b597-742178227207,2,17383,2583,175,3550,482043
claude:63beb72e-283c-0dc9-b597-742178227207,3,19819,581,62,22061,482043
claude:63beb72e-283c-0dc9-b597-742178227207,4,20399,1174,754,0,482043
claude:6463a6e1-e4fd-499d-96c9-9fc2e0bf692e,0,15695,3,2,32720,849140
claude:6463a6e1-e4fd-499d-96c9-9fc2e0bf692e,1,15695,1667,271,0,849140
claude:6a6e54d4-b82b-3f10-5c59-f2b013d4f844,0,15703,3,240,25972,2051127
claude:6a6e54d4-b82b-3f10-5c59-f2b013d4f844,1,15703,2084,173,9424,2051127
claude:6a6e54d4-b82b-3f10-5c59-f2b013d4f844,2,16206,3442,182,4314,2051127
claude:6a6e54d4-b82b-3f10-5c59-f2b013d4f844,3,19647,530,730,0,2051127
claude:6bbb502c-1b9b-14b7-0761-4965428ede98,0,13045,2639,198,12750,384854
claude:6bbb502c-1b9b-14b7-0761-4965428ede98,1,15681,921,962,0,384854
claude:6bf59d05-39bc-f6d3-1eae-19a546fe8223,0,12978,2720,4,30855,1264545
claude:6bf59d05-39bc-f6d3-1eae-19a546fe8223,1,15695,3534,4,140326,1264545
claude:6bf59d05-39bc-f6d3-1eae-19a546fe8223,2,17699,2086,177,5315,1264545
claude:6bf59d05-39bc-f6d3-1eae-19a546fe8223,3,19650,645,875,0,1264545
claude:6c9b9458-2341-e991-4f3a-214b425077d3,0,12978,2733,335,4228,2590175
claude:6c9b9458-2341-e991-4f3a-214b425077d3,1,15708,2467,356,0,2590175
claude:6e927463-bce0-d11b-35b8-a1d5c140ebe0,0,15719,3,256,14660,1251069
claude:6e927463-bce0-d11b-35b8-a1d5c140ebe0,1,15719,2749,196,0,1251069
claude:72135697-e292-52de-5864-5aa2ee1d82fa,0,12978,2735,201,58294,2040607
claude:72135697-e292-52de-5864-5aa2ee1d82fa,1,15710,3609,248,21862,2040607
claude:72135697-e292-52de-5864-5aa2ee1d82fa,2,17694,3367,181,0,2040607
claude:731e183d-6fb6-d0ea-c8fb-0cddd123bc96,0,13045,2615,214,37003,384855
claude:731e183d-6fb6-d0ea-c8fb-0cddd123bc96,1,15657,933,596,0,384855
claude:74cf929b-e9d0-ae79-38f2-14c03c7c472a,0,12978,2762,282,30735,1676675
claude:74cf929b-e9d0-ae79-38f2-14c03c7c472a,1,15737,3421,259,12730,1676675
claude:74cf929b-e9d0-ae79-38f2-14c03c7c472a,2,17189,2917,931,0,1676675
claude:78a25065-f12e-d32a-7a20-739e7745093c,0,15697,3,199,103877,3302404
claude:78a25065-f12e-d32a-7a20-739e7745093c,1,15697,4699,290,4472,3302404
claude:78a25065-f12e-d32a-7a20-739e7745093c,2,20395,894,240,80946,3302404
claude:78a25065-f12e-d32a-7a20-739e7745093c,3,21000,1457,196,0,3302404
claude:7946a94d-9ae4-232b-d6d9-8b3f6e42cd77,0,12978,2716,279,11120,3448096
claude:7946a94d-9ae4-232b-d6d9-8b3f6e42cd77,1,15691,2959,224,84502,3448096
claude:7946a94d-9ae4-232b-d6d9-8b3f6e42cd77,2,16672,2876,155,382927,3448096
claude:7946a94d-9ae4-232b-d6d9-8b3f6e42cd77,3,12978,7005,800,0,3448096
claude:7e8b64b9-6d5f-c52c-e39c-f3d5598e76b8,0,15696,3,262,5235,2708130
claude:7e8b64b9-6d5f-c52c-e39c-f3d5598e76b8,1,15696,2795,206,23623,2708130
claude:7e8b64b9-6d5f-c52c-e39c-f3d5598e76b8,2,18490,2177,827,0,2708130
claude:7ef5a611-123d-52f5-3a91-03a6c15279d9,0,12978,2722,200,19062,1328760
claude:7ef5a611-123d-52f5-3a91-03a6c15279d9,1,15697,4423,269,6561,1328760
claude:7ef5a611-123d-52f5-3a91-03a6c15279d9,2,18569,2566,149,16428,1328760
claude:7ef5a611-123d-52f5-3a91-03a6c15279d9,3,21134,400,1,206699,1328760
claude:7ef5a611-123d-52f5-3a91-03a6c15279d9,4,21533,415,801,0,1328760
claude:805afa30-2d60-b31a-7516-64a29f958357,0,13045,2613,205,64630,212328
claude:805afa30-2d60-b31a-7516-64a29f958357,1,15655,589,612,0,212328
claude:80e7f573-8be5-3287-9466-864bcbea6dd2,0,15724,3,283,2729,1887943
claude:80e7f573-8be5-3287-9466-864bcbea6dd2,1,15724,3608,1,3332,1887943
claude:80e7f573-8be5-3287-9466-864bcbea6dd2,2,19120,999,130,11784,1887943
claude:80e7f573-8be5-3287-9466-864bcbea6dd2,3,19847,865,833,0,1887943
claude:82507586-324e-1c67-45c1-8b4c9d12ef50,0,12978,2744,138,22602,482034
claude:82507586-324e-1c67-45c1-8b4c9d12ef50,1,15719,2915,220,62020,482034
claude:82507586-324e-1c67-45c1-8b4c9d12ef50,2,17290,3181,249,51367,482034
claude:82507586-324e-1c67-45c1-8b4c9d12ef50,3,20470,1827,1021,0,482034
claude:8290a02d-2da8-90d4-750e-84a89dcb80f9,0,13045,2597,161,10732,440868
claude:8290a02d-2da8-90d4-750e-84a89dcb80f9,1,15639,928,176,6844,440868
claude:8290a02d-2da8-90d4-750e-84a89dcb80f9,2,16566,543,630,0,440868
claude:884bef04-9e78-6072-30ab-47fcbb604a09,0,12978,2721,204,15170,1946626
claude:884bef04-9e78-6072-30ab-47fcbb604a09,1,15696,3860,283,34909,1946626
claude:884bef04-9e78-6072-30ab-47fcbb604a09,2,12978,7496,144,65207,1946626
claude:884bef04-9e78-6072-30ab-47fcbb604a09,3,20143,764,913,0,1946626
claude:896e5d4b-2665-5768-7291-0112ecf5e9e3,0,13045,2606,241,16405,384855
claude:896e5d4b-2665-5768-7291-0112ecf5e9e3,1,15648,1362,691,0,384855
claude:89cd76a1-58ca-1cda-6901-82f9d02c9dcf,0,12978,2762,140,19956,1357502
claude:89cd76a1-58ca-1cda-6901-82f9d02c9dcf,1,15737,2884,1,2899,1357502
claude:89cd76a1-58ca-1cda-6901-82f9d02c9dcf,2,18620,718,269,0,1357502
claude:8a18167b-fcc7-0f59-c978-7a6ffbd3e72d,0,12978,2738,307,2613,1892811
claude:8a18167b-fcc7-0f59-c978-7a6ffbd3e72d,1,15713,3346,308,2534,1892811
claude:8a18167b-fcc7-0f59-c978-7a6ffbd3e72d,2,19058,791,186,13902,1892811
claude:8a18167b-fcc7-0f59-c978-7a6ffbd3e72d,3,19673,1992,769,0,1892811
claude:8b29f0b2-e590-983a-2443-876a0e0dee69,0,12978,2786,203,17338,3017741
claude:8b29f0b2-e590-983a-2443-876a0e0dee69,1,15761,4013,1,0,3017741
claude:8b5cba9e-2aa5-200e-5818-c90ce3a02ced,0,12978,2749,4,31437,784841
claude:8b5cba9e-2aa5-200e-5818-c90ce3a02ced,1,15724,3720,210,12696,784841
claude:8b5cba9e-2aa5-200e-5818-c90ce3a02ced,2,19205,1846,259,3340,784841
claude:8b5cba9e-2aa5-200e-5818-c90ce3a02ced,3,21050,525,70,33641,784841
claude:8b5cba9e-2aa5-200e-5818-c90ce3a02ced,4,21574,1370,879,0,784841
claude:8c2d19ef-c52c-2619-4d36-01443d37f6c3,0,12978,2779,175,14268,3334609
claude:8c2d19ef-c52c-2619-4d36-01443d37f6c3,1,15754,2916,3,0,3334609
claude:8ce100f4-d778-f332-3d1e-c243a470f611,0,13045,2607,170,172624,84946
claude:8ce100f4-d778-f332-3d1e-c243a470f611,1,15649,562,487,0,84946
claude:93534418-2e86-ab7b-bf0f-6a9d39bf1964,0,15602,3,153,20803,228725
claude:93534418-2e86-ab7b-bf0f-6a9d39bf1964,1,15602,3357,118,13807,228725
claude:93534418-2e86-ab7b-bf0f-6a9d39bf1964,2,17732,3451,105,28236,228725
claude:93534418-2e86-ab7b-bf0f-6a9d39bf1964,3,20340,1957,891,0,228725
claude:97379b57-e258-cf05-3fd8-871f9e4fe820,0,15690,3,271,3018,1989953
claude:97379b57-e258-cf05-3fd8-871f9e4fe820,1,15690,2836,163,2818,1989953
claude:97379b57-e258-cf05-3fd8-871f9e4fe820,2,17131,1678,379,0,1989953
claude:98249cae-b4bd-dab9-739a-a4f588894c27,0,15697,3,202,17854,1382748
claude:98249cae-b4bd-dab9-739a-a4f588894c27,1,12978,6547,465,35981,1382748
claude:98249cae-b4bd-dab9-739a-a4f588894c27,2,18410,2468,167,46662,1382748
claude:98249cae-b4bd-dab9-739a-a4f588894c27,3,20877,2470,168,8215,1382748
claude:98249cae-b4bd-dab9-739a-a4f588894c27,4,22227,1939,176,0,1382748
claude:9904811b-0e7a-fea6-23d9-226c7fd464fd,0,12978,2716,273,63853,2319889
claude:9904811b-0e7a-fea6-23d9-226c7fd464fd,1,15691,2426,226,0,2319889
claude:9ac99451-5a44-36d2-083b-0fd1e0ac5581,0,12978,2773,203,24428,2535870
claude:9ac99451-5a44-36d2-083b-0fd1e0ac5581,1,15748,4308,292,59853,2535870
claude:9ac99451-5a44-36d2-083b-0fd1e0ac5581,2,17413,3629,153,278414,2535870
claude:9ac99451-5a44-36d2-083b-0fd1e0ac5581,3,20836,792,62,110459,2535870
claude:9ac99451-5a44-36d2-083b-0fd1e0ac5581,4,21627,1766,953,0,2535870
claude:9b447563-d635-1166-db76-cc7c5e7cc8dc,0,12978,2749,277,35217,1154979
claude:9b447563-d635-1166-db76-cc7c5e7cc8dc,1,15724,3454,258,4525,1154979
claude:9b447563-d635-1166-db76-cc7c5e7cc8dc,2,18940,1189,161,2229,1154979
claude:9b447563-d635-1166-db76-cc7c5e7cc8dc,3,20128,274,529,0,1154979
claude:9c680feb-f4e0-6ae1-ffeb-0c1afe0f953c,0,12978,2715,262,13424,1607781
claude:9c680feb-f4e0-6ae1-ffeb-0c1afe0f953c,1,15690,2602,273,37603,1607781
claude:9c680feb-f4e0-6ae1-ffeb-0c1afe0f953c,2,18291,644,674,0,1607781
claude:9ef2dece-d136-4306-194f-b1dbd1e0ef47,0,0,15710,233,29160,482037
claude:9ef2dece-d136-4306-194f-b1dbd1e0ef47,1,15707,2009,1,2836,482037
claude:9ef2dece-d136-4306-194f-b1dbd1e0ef47,2,17715,1019,802,0,482037
claude:a23baa41-83df-7263-de61-31bcea0f3853,0,15696,3,254,86208,2192810
claude:a23baa41-83df-7263-de61-31bcea0f3853,1,15696,2711,265,5573,2192810
claude:a23baa41-83df-7263-de61-31bcea0f3853,2,17397,1941,2,40800,2192810
claude:a23baa41-83df-7263-de61-31bcea0f3853,3,18981,829,194,2123,2192810
claude:a23baa41-83df-7263-de61-31bcea0f3853,4,19809,356,121,146942,2192810
claude:a9b3ad4a-33ff-f3cf-ea9a-4cdeb0f6a0d2,0,12978,2751,254,22034,482040
claude:a9b3ad4a-33ff-f3cf-ea9a-4cdeb0f6a0d2,1,15726,3256,286,4069,482040
claude:a9b3ad4a-33ff-f3cf-ea9a-4cdeb0f6a0d2,2,16270,3436,267,3848,482040
claude:a9b3ad4a-33ff-f3cf-ea9a-4cdeb0f6a0d2,3,12978,8878,874,0,482040
claude:b35917d3-f128-a9b2-dba6-d5d3488938e5,0,12978,2786,294,5685,3493176
claude:b35917d3-f128-a9b2-dba6-d5d3488938e5,1,15761,3377,55,235707,3493176
claude:b35917d3-f128-a9b2-dba6-d5d3488938e5,2,17464,5591,306,173186,3493176
claude:b35917d3-f128-a9b2-dba6-d5d3488938e5,3,12978,10940,1046,0,3493176
claude:b35b7085-298b-22e1-7d8e-a950b2a0dab4,0,12978,2732,276,20421,482038
claude:b35b7085-298b-22e1-7d8e-a950b2a0dab4,1,15707,2706,363,394328,482038
claude:b35b7085-298b-22e1-7d8e-a950b2a0dab4,2,12978,6239,140,2577,482038
claude:b35b7085-298b-22e1-7d8e-a950b2a0dab4,3,19067,523,805,0,482038
claude:b3fe09e5-e913-acdb-082b-acf513b4ecbf,0,0,15660,2,54346,1
claude:b3fe09e5-e913-acdb-082b-acf513b4ecbf,1,15657,779,447,14222,1
claude:b3fe09e5-e913-acdb-082b-acf513b4ecbf,2,16435,2088,700,0,1
claude:b560a808-e541-517b-58aa-5471c4ab8da6,0,13045,2623,191,27141,84946
claude:b560a808-e541-517b-58aa-5471c4ab8da6,1,15665,565,569,0,84946
claude:b60f10ab-a714-e419-4bf3-96af699c646c,0,12978,2715,2,41622,1667498
claude:b60f10ab-a714-e419-4bf3-96af699c646c,1,15690,2766,254,2848,1667498
claude:b60f10ab-a714-e419-4bf3-96af699c646c,2,18455,833,1,0,1667498
claude:c3ba7508-15cd-bb41-a14c-d3b95e13bf56,0,12978,2722,301,20138,2147788
claude:c3ba7508-15cd-bb41-a14c-d3b95e13bf56,1,15697,2760,302,2056,2147788
claude:c3ba7508-15cd-bb41-a14c-d3b95e13bf56,2,17436,1799,798,0,2147788
claude:c4048398-66cc-9b09-39cd-d9cad30fd84c,0,13045,2606,200,17488,212327
claude:c4048398-66cc-9b09-39cd-d9cad30fd84c,1,15648,1070,198,35261,212327
claude:c4048398-66cc-9b09-39cd-d9cad30fd84c,2,16717,543,673,0,212327
claude:c445ffd8-7e75-99f0-713c-b78cbb5f56bc,0,13045,2621,268,29776,1
claude:c445ffd8-7e75-99f0-713c-b78cbb5f56bc,1,15663,721,156,130299,1
claude:c445ffd8-7e75-99f0-713c-b78cbb5f56bc,2,16383,542,147,630,1
claude:c445ffd8-7e75-99f0-713c-b78cbb5f56bc,3,16924,12673,901,0,1
claude:c732d669-3837-e877-1b34-2eeca0fcee85,0,12978,2744,252,26656,482033
claude:c732d669-3837-e877-1b34-2eeca0fcee85,1,15719,3035,193,25934,482033
claude:c732d669-3837-e877-1b34-2eeca0fcee85,2,16232,5343,1072,0,482033
claude:c9b7e8d0-56e0-300f-55d2-d519b117f900,0,0,15710,2,90282,482037
claude:c9b7e8d0-56e0-300f-55d2-d519b117f900,1,15707,1835,258,14490,482037
claude:c9b7e8d0-56e0-300f-55d2-d519b117f900,2,17541,765,138,13940,482037
claude:c9b7e8d0-56e0-300f-55d2-d519b117f900,3,18087,2649,785,0,482037
